iter	MultiClass
240	1.721989182
241	1.72167632
242	1.72137442
243	1.721190258
244	1.720964232
245	1.720737736
246	1.72048473
247	1.720167598
248	1.719840525
249	1.719654436
250	1.719419704
251	1.719174586
252	1.718834738
253	1.718655132
254	1.71841491
255	1.718241598
256	1.717886927
257	1.717610404
258	1.717360673
259	1.717119279
260	1.71689366
261	1.716604196
262	1.716330861
263	1.716055849
264	1.715725246
265	1.715502172
266	1.715324123
267	1.715019409
268	1.714825152
269	1.714501225
270	1.714211206
271	1.713987526
272	1.71372068
273	1.713569611
274	1.713345667
275	1.713151999
276	1.712988775
277	1.712760878
278	1.712545778
279	1.712251432
280	1.711972745
281	1.711735953
282	1.711480595
283	1.711246627
284	1.711023953
285	1.710740058
286	1.710451766
287	1.710157893
288	1.709884852
289	1.709692853
290	1.709402718
291	1.709156932
292	1.708861819
293	1.70864601
294	1.708353863
295	1.708152112
296	1.707901557
297	1.707725678
298	1.707493439
299	1.707271523
300	1.707049007
301	1.706799396
302	1.706539492
303	1.706297763
304	1.706033102
305	1.705792993
306	1.70558474
307	1.705311463
308	1.705119831
309	1.704933456
310	1.70478593
311	1.704483291
312	1.704275324
313	1.704100339
314	1.703896667
315	1.703753356
316	1.703488183
317	1.703204503
318	1.702952157
319	1.702693789
320	1.702448982
321	1.702197621
322	1.701964435
323	1.701744035
324	1.701575204
325	1.701314356
326	1.701149248
327	1.700941053
328	1.700628765
329	1.700429736
330	1.700213984
331	1.699954092
332	1.699704446
333	1.699453569
334	1.699264913
335	1.698977001
336	1.698681249
337	1.698442146
338	1.698310321
339	1.698135949
340	1.697848147
341	1.697583418
342	1.697427017
343	1.697145539
344	1.696899202
345	1.696624912
346	1.69641689
347	1.696196976
348	1.695976683
349	1.695847822
350	1.695626632
351	1.695435153
352	1.695227611
353	1.694961022
354	1.69479283
355	1.694605935
356	1.694423386
357	1.69414146
358	1.693933732
359	1.693690063
360	1.693460777
361	1.693222072
362	1.69296811
363	1.692735254
364	1.69253414
365	1.692269806
366	1.692046413
367	1.691796678
368	1.691570203
369	1.691271958
370	1.691083291
371	1.690846503
372	1.690601011
373	1.690402406
374	1.690211781
375	1.690040928
376	1.689809794
377	1.689591669
378	1.68941067
379	1.689196254
380	1.688995343
381	1.688784365
382	1.688625146
383	1.688392633
384	1.688160286
385	1.687964806
386	1.687678581
387	1.687482244
388	1.687355899
389	1.687124197
390	1.686903632
391	1.686711628
392	1.686440436
393	1.686235432
394	1.686062441
395	1.685799818
396	1.685557559
397	1.685337331
398	1.685142444
399	1.68495708
400	1.684748134
401	1.684512418
402	1.684289607
403	1.684005449
404	1.683794539
405	1.683564469
406	1.683392576
407	1.683157594
408	1.682959702
409	1.682781638
410	1.682589823
411	1.682370889
412	1.682195297
413	1.681974204
414	1.681846016
415	1.68165725
416	1.681482633
417	1.681309297
418	1.681003147
419	1.680845109
420	1.680675118
421	1.680431839
422	1.68016808
423	1.679902144
424	1.679626004
425	1.679432304
426	1.679220376
427	1.679081532
428	1.67883185
429	1.678599852
430	1.678403322
431	1.678161959
432	1.677903813
433	1.677659337
434	1.677489298
435	1.677236771
436	1.677033527
437	1.676837755
438	1.676606436
439	1.676414561
440	1.676152795
441	1.67583966
442	1.675606341
443	1.675427215
444	1.675213957
445	1.675056166
446	1.674847905
447	1.674621187
448	1.674464927
449	1.674185749
450	1.67405615
451	1.673851463
452	1.673700231
453	1.673517538
454	1.673325003
455	1.673066715
456	1.672854671
457	1.672706775
458	1.672490417
459	1.672289741
460	1.672138464
461	1.67186025
462	1.671666156
463	1.671463831
464	1.671346345
465	1.671208971
466	1.67100512
467	1.670776742
468	1.670520451
469	1.670268391
470	1.670072003
471	1.66990599
472	1.669712883
473	1.669526079
474	1.669331065
475	1.669173449
476	1.668960679
477	1.668760589
478	1.668600334
479	1.668397917
480	1.66812688
481	1.667879285
482	1.667638719
483	1.66746875
484	1.667271573
485	1.667114417
486	1.66692374
487	1.666751147
488	1.666587193
489	1.666344645
490	1.666160905
491	1.66594827
492	1.665757304
493	1.665553758
494	1.665377345
495	1.665201401
496	1.66503101
497	1.664862634
498	1.664645692
499	1.664404693
500	1.664159936
501	1.664046077
502	1.663846517
503	1.663594668
504	1.663459759
505	1.663266342
506	1.663107721
507	1.662975395
508	1.662710161
509	1.662532128
510	1.662322385
511	1.662217698
512	1.661957277
513	1.661809044
514	1.661632389
515	1.661475907
516	1.661299744
517	1.661160461
518	1.660931794
519	1.660722413
520	1.660479895
521	1.660296163
522	1.660030725
523	1.659880311
524	1.65965228
525	1.659483297
526	1.659272338
527	1.659097776
528	1.658849062
529	1.658639008
530	1.658398272
531	1.658201204
532	1.657953626
533	1.657792353
534	1.657557655
535	1.657366571
536	1.657173241
537	1.657003802
538	1.656826127
539	1.656668224
540	1.656439621
541	1.656218351
542	1.655996082
543	1.655754244
544	1.655561541
545	1.655335094
546	1.655183059
547	1.654993428
548	1.654848477
549	1.654622887
550	1.654466331
551	1.654266048
552	1.654090644
553	1.653826702
554	1.653568313
555	1.65339975
556	1.653183934
557	1.652953635
558	1.652786138
559	1.652601032
560	1.652403811
561	1.652248117
562	1.652106979
563	1.651911279
564	1.651686036
565	1.651534263
566	1.651441634
567	1.651272164
568	1.651040825
569	1.650842229
570	1.650706822
571	1.650541955
572	1.650348267
573	1.650112394
574	1.649910402
575	1.649750356
576	1.649627375
577	1.649465126
578	1.649310337
579	1.649122315
580	1.648873346
581	1.648709892
582	1.648512995
583	1.648289514
584	1.648127254
585	1.647936117
586	1.64775403
587	1.647560712
588	1.647340021
589	1.647134868
590	1.646965824
591	1.646755359
592	1.646608564
593	1.64640069
594	1.646221399
595	1.645974709
596	1.645814268
597	1.64562058
598	1.645480336
599	1.645337968
600	1.645127738
601	1.644911129
602	1.644748046
603	1.644526854
604	1.644313281
605	1.644036788
606	1.643826453
607	1.643598513
608	1.643406224
609	1.643244137
610	1.643076885
611	1.642877615
612	1.642676714
613	1.642481916
614	1.642251757
615	1.642078713
616	1.641859781
617	1.64165477
618	1.641496058
619	1.641283499
620	1.641175145
621	1.640969999
622	1.640767358
623	1.640614483
624	1.640393717
625	1.640175331
626	1.640043095
627	1.63984662
628	1.639715531
629	1.639510648
630	1.639317215
631	1.639137375
632	1.638965646
633	1.638727701
634	1.638557559
635	1.638337782
636	1.63811612
637	1.637958902
638	1.637797993
639	1.637653778
640	1.637517123
641	1.637333958
642	1.637120811
643	1.636928235
644	1.636776743
645	1.636622252
646	1.636386937
647	1.636222376
648	1.636027524
649	1.635820219
650	1.635655209
651	1.635467601
652	1.63518901
653	1.634983797
654	1.634812877
655	1.634612172
656	1.634374892
657	1.634163107
658	1.634023264
659	1.633855832
660	1.633677192
661	1.633530931
662	1.633413571
663	1.633285814
664	1.633110784
665	1.6328951
666	1.632701659
667	1.632488262
668	1.632249261
669	1.632016202
670	1.631831035
671	1.631636037
672	1.631402283
673	1.631205177
674	1.630992684
675	1.630797247
676	1.630652667
677	1.630491568
678	1.630273642
679	1.630055912
680	1.629912982
681	1.62971263
682	1.629534678
683	1.629323357
684	1.62909316
685	1.62890578
686	1.628751417
687	1.628577108
688	1.628399885
689	1.628299083
690	1.628160333
691	1.62800072
692	1.627799154
693	1.627597829
694	1.627370029
695	1.627160623
696	1.626912819
697	1.626688588
698	1.626513135
699	1.626355426
700	1.626211305
701	1.626018506
702	1.625875063
703	1.625725049
704	1.62554719
705	1.625354593
706	1.62516786
707	1.624983083
708	1.624806682
709	1.624647101
710	1.624442253
711	1.624251142
712	1.623995352
713	1.623814148
714	1.623617882
715	1.623488726
716	1.623344649
717	1.623202906
718	1.623027189
719	1.622842372
720	1.622655226
721	1.622419674
722	1.622231507
723	1.622025297
724	1.621828759
725	1.621653102
726	1.621523417
727	1.62136798
728	1.621210404
729	1.621038572
730	1.620909656
731	1.620692219
732	1.620535121
733	1.620383502
734	1.620202603
735	1.620002304
736	1.61976486
737	1.61958618
738	1.619428233
739	1.619269059
740	1.619066034
741	1.61890136
742	1.618667829
743	1.618531743
744	1.618376319
745	1.618176558
746	1.618084931
747	1.617908941
748	1.61772252
749	1.617534889
750	1.617354098
751	1.617197286
752	1.617017603
753	1.616866678
754	1.616673363
755	1.616544494
756	1.616308872
757	1.616128205
758	1.615918436
759	1.615760168
760	1.615600207
761	1.615457079
762	1.615279518
763	1.615072813
764	1.614886991
765	1.614684308
766	1.614596646
767	1.614396386
768	1.614245562
769	1.613990772
770	1.613798973
771	1.613675513
772	1.613504587
773	1.613305473
774	1.613131401
775	1.612957593
776	1.612804768
777	1.612734382
778	1.612604544
779	1.612391585
780	1.612228566
781	1.612040963
782	1.61186467
783	1.61168403
784	1.611555468
785	1.611346572
786	1.611195684
787	1.611003595
788	1.610822283
789	1.610681139
790	1.610495203
791	1.61034286
792	1.610187799
793	1.610020969
794	1.609859177
795	1.609766672
796	1.609587088
797	1.60939714
798	1.609221099
799	1.60908509
800	1.608911124
801	1.608708131
802	1.608571712
803	1.608358492
804	1.608190015
805	1.608089899
806	1.607983969
807	1.60786219
808	1.607652609
809	1.607498889
810	1.607334283
811	1.60721712
812	1.607043005
813	1.606920215
814	1.6067373
815	1.606536422
816	1.606326536
817	1.606186167
818	1.606055151
819	1.605867758
820	1.605721479
821	1.605546752
822	1.605438005
823	1.605265057
824	1.605099194
825	1.604901215
826	1.604776991
827	1.604556638
828	1.60434056
829	1.604219439
830	1.604104043
831	1.603948596
832	1.603791071
833	1.603605922
834	1.603446091
835	1.603261593
836	1.603114358
837	1.602983212
838	1.602827387
839	1.602648775
840	1.602509293
841	1.602323233
842	1.602152605
843	1.601993765
844	1.6018224
845	1.60167166
846	1.601492937
847	1.60138397
848	1.601207467
849	1.601039697
850	1.600925633
851	1.600823248
852	1.600649225
853	1.600558662
854	1.600418049
855	1.600245683
856	1.600104514
857	1.599895238
858	1.599707687
859	1.599511695
860	1.599319508
861	1.599129886
862	1.598983729
863	1.598877216
864	1.598686153
865	1.598538982
866	1.598407652
867	1.598257842
868	1.59811632
869	1.597923267
870	1.597734784
871	1.597584686
872	1.597398056
873	1.597199273
874	1.597086571
875	1.596900025
876	1.596763302
877	1.596637515
878	1.596499355
879	1.596319938
880	1.596124796
881	1.59597777
882	1.595792945
883	1.595629649
884	1.595514827
885	1.595354917
886	1.59522818
887	1.595079115
888	1.59487503
889	1.594674865
890	1.594518295
891	1.594329527
892	1.594169332
893	1.594050117
894	1.593854947
895	1.59367888
896	1.593559649
897	1.593420301
898	1.593306255
899	1.593168954
900	1.593016842
901	1.592862119
902	1.59267994
903	1.59251315
904	1.592339766
905	1.592188927
906	1.592015644
907	1.591836053
908	1.591749864
909	1.59153376
910	1.591365071
911	1.591215161
912	1.591041005
913	1.59085736
914	1.590665381
915	1.590502362
916	1.590341388
917	1.590222332
918	1.590084503
919	1.589890089
920	1.589677329
921	1.589555359
922	1.589398913
923	1.589288914
924	1.589175759
925	1.589034731
926	1.588854595
927	1.588697983
928	1.588580543
929	1.588480929
930	1.588324699
931	1.588142793
932	1.587981035
933	1.587821194
934	1.587667926
935	1.587514956
936	1.587367424
937	1.587221398
938	1.587122257
939	1.586962484
940	1.586766919
941	1.586651001
942	1.586514552
943	1.586374334
944	1.586225433
945	1.586037438
946	1.585873128
947	1.585681041
948	1.585518508
949	1.585426308
950	1.585294846
951	1.585112908
952	1.585018408
953	1.584855387
954	1.584741131
955	1.58456334
956	1.58443158
957	1.584284575
958	1.584100808
959	1.583961713
960	1.58382488
961	1.583691404
962	1.583571186
963	1.583424728
964	1.583284057
965	1.583160343
966	1.583041634
967	1.582889921
968	1.582709675
969	1.582587761
970	1.582453633
971	1.582299971
972	1.582128736
973	1.582007521
974	1.58192016
975	1.581756004
976	1.58158493
977	1.581406207
978	1.581286745
979	1.581083252
980	1.580929708
981	1.580837568
982	1.580687701
983	1.58050054
984	1.580346026
985	1.580224246
986	1.580066347
987	1.57993715
988	1.579804564
989	1.579649456
990	1.579519091
991	1.579411234
992	1.579247945
993	1.579045101
994	1.578870276
995	1.578736447
996	1.578633466
997	1.578470197
998	1.578317786
999	1.578178296
