iter	Passed	Remaining
562	10940	8492
563	10960	8472
564	10979	8453
565	10997	8432
566	11012	8410
567	11031	8390
568	11050	8370
569	11070	8351
570	11087	8330
571	11106	8310
572	11125	8290
573	11146	8272
574	11167	8254
575	11184	8233
576	11204	8213
577	11222	8193
578	11239	8172
579	11258	8152
580	11278	8133
581	11296	8113
582	11316	8094
583	11334	8073
584	11354	8054
585	11373	8035
586	11393	8016
587	11411	7995
588	11431	7976
589	11450	7957
590	11471	7938
591	11493	7920
592	11511	7900
593	11533	7882
594	11553	7864
595	11575	7846
596	11595	7827
597	11614	7807
598	11631	7787
599	11650	7766
600	11670	7747
601	11692	7730
602	11711	7710
603	11732	7691
604	11751	7672
605	11772	7654
606	11791	7634
607	11811	7615
608	11831	7596
609	11850	7576
610	11868	7556
611	11889	7537
612	11908	7518
613	11927	7498
614	11947	7479
615	11966	7459
616	11986	7440
617	12006	7421
618	12026	7402
619	12045	7382
620	12061	7361
621	12083	7343
622	12103	7324
623	12122	7304
624	12142	7285
625	12163	7266
626	12181	7246
627	12199	7226
628	12216	7205
629	12236	7186
630	12255	7167
631	12273	7146
632	12292	7127
633	12311	7107
634	12330	7087
635	12348	7067
636	12367	7047
637	12387	7028
638	12406	7008
639	12424	6988
640	12441	6968
641	12461	6949
642	12480	6929
643	12499	6909
644	12519	6890
645	12537	6870
646	12557	6851
647	12575	6830
648	12595	6811
649	12614	6792
650	12633	6773
651	12653	6753
652	12675	6735
653	12694	6716
654	12713	6696
655	12732	6676
656	12752	6657
657	12772	6638
658	12793	6619
659	12813	6600
660	12832	6581
661	12850	6561
662	12868	6541
663	12887	6521
664	12906	6501
665	12926	6482
666	12945	6463
667	12966	6444
668	12987	6425
669	13009	6407
670	13028	6388
671	13049	6369
672	13068	6349
673	13087	6330
674	13106	6310
675	13125	6291
676	13146	6272
677	13165	6252
678	13184	6232
679	13203	6213
680	13221	6193
681	13242	6174
682	13260	6154
683	13280	6135
684	13300	6116
685	13320	6097
686	13339	6077
687	13358	6057
688	13375	6037
689	13391	6016
690	13408	5996
691	13426	5976
692	13446	5956
693	13465	5937
694	13486	5918
695	13503	5898
696	13523	5878
697	13541	5859
698	13559	5838
699	13578	5819
700	13596	5799
701	13615	5779
702	13635	5760
703	13653	5740
704	13672	5721
705	13692	5701
706	13710	5682
707	13731	5663
708	13748	5642
709	13766	5623
710	13786	5603
711	13805	5584
712	13825	5565
713	13845	5546
714	13864	5526
715	13882	5506
716	13901	5486
717	13918	5466
718	13939	5447
719	13959	5428
720	13979	5409
721	14002	5391
722	14022	5372
723	14043	5353
724	14063	5334
725	14083	5315
726	14102	5295
727	14121	5276
728	14140	5256
729	14161	5237
730	14181	5218
731	14200	5199
732	14220	5179
733	14239	5160
734	14259	5141
735	14279	5122
736	14302	5103
737	14322	5084
738	14344	5066
739	14365	5047
740	14386	5028
741	14403	5008
742	14425	4989
743	14444	4969
744	14461	4949
745	14485	4931
746	14501	4911
747	14519	4891
748	14540	4872
749	14561	4853
750	14582	4835
751	14602	4815
752	14622	4796
753	14641	4776
754	14661	4757
755	14678	4737
756	14698	4718
757	14716	4698
758	14737	4679
759	14756	4659
760	14776	4640
761	14795	4621
762	14814	4601
763	14836	4582
764	14854	4563
765	14874	4543
766	14892	4524
767	14911	4504
768	14930	4485
769	14952	4466
770	14971	4446
771	14988	4426
772	15008	4407
773	15027	4387
774	15046	4368
775	15067	4349
776	15085	4329
777	15102	4309
778	15121	4289
779	15139	4270
780	15159	4250
781	15179	4231
782	15198	4212
783	15215	4192
784	15234	4172
785	15254	4153
786	15274	4133
787	15292	4114
788	15310	4094
789	15328	4074
790	15348	4055
791	15367	4035
792	15386	4016
793	15406	3997
794	15428	3978
795	15445	3958
796	15465	3939
797	15486	3920
798	15505	3900
799	15523	3880
800	15543	3861
801	15564	3842
802	15584	3823
803	15605	3804
804	15624	3784
805	15642	3765
806	15663	3746
807	15683	3726
808	15702	3707
809	15722	3687
810	15742	3668
811	15762	3649
812	15780	3629
813	15801	3610
814	15819	3590
815	15840	3571
816	15859	3552
817	15879	3533
818	15897	3513
819	15918	3494
820	15938	3475
821	15959	3455
822	15979	3436
823	16002	3418
824	16023	3398
825	16045	3380
826	16067	3361
827	16091	3342
828	16114	3323
829	16133	3304
830	16154	3285
831	16174	3265
832	16195	3246
833	16216	3227
834	16245	3210
835	16277	3193
836	16305	3175
837	16329	3156
838	16354	3138
839	16380	3120
840	16403	3101
841	16433	3083
842	16462	3066
843	16483	3046
844	16503	3027
845	16523	3007
846	16543	2988
847	16562	2968
848	16581	2949
849	16603	2929
850	16623	2910
851	16643	2891
852	16666	2872
853	16688	2853
854	16710	2833
855	16735	2815
856	16758	2796
857	16785	2778
858	16812	2759
859	16837	2741
860	16865	2722
861	16888	2703
862	16908	2684
863	16930	2664
864	16953	2645
865	16974	2626
866	16998	2607
867	17020	2588
868	17043	2569
869	17068	2550
870	17093	2531
871	17116	2512
872	17139	2493
873	17162	2474
874	17181	2454
875	17202	2435
876	17221	2415
877	17241	2395
878	17261	2376
879	17282	2356
880	17302	2337
881	17321	2317
882	17341	2297
883	17360	2278
884	17379	2258
885	17399	2238
886	17419	2219
887	17440	2199
888	17461	2180
889	17479	2160
890	17499	2140
891	17520	2121
892	17541	2101
893	17561	2082
894	17583	2062
895	17604	2043
896	17621	2023
897	17643	2004
898	17664	1984
899	17685	1965
900	17708	1945
901	17730	1926
902	17750	1906
903	17770	1887
904	17791	1867
905	17813	1848
906	17832	1828
907	17854	1809
908	17874	1789
909	17896	1769
910	17917	1750
911	17937	1730
912	17961	1711
913	17983	1692
914	18007	1672
915	18037	1654
916	18061	1634
917	18081	1615
918	18102	1595
919	18127	1576
920	18148	1556
921	18167	1536
922	18188	1517
923	18208	1497
924	18230	1478
925	18252	1458
926	18274	1439
927	18293	1419
928	18313	1399
929	18331	1379
930	18352	1360
931	18373	1340
932	18395	1320
933	18415	1301
934	18434	1281
935	18454	1261
936	18475	1242
937	18495	1222
938	18513	1202
939	18535	1183
940	18555	1163
941	18572	1143
942	18592	1123
943	18612	1104
944	18630	1084
945	18650	1064
946	18671	1044
947	18690	1025
948	18710	1005
949	18728	985
950	18746	965
951	18767	946
952	18784	926
953	18802	906
954	18820	886
955	18838	867
956	18859	847
957	18877	827
958	18897	807
959	18916	788
960	18934	768
961	18955	748
962	18976	729
963	18996	709
964	19017	689
965	19036	670
966	19056	650
967	19075	630
968	19099	611
969	19129	591
970	19151	571
971	19178	552
972	19202	532
973	19229	513
974	19252	493
975	19277	474
976	19301	454
977	19329	434
978	19349	415
979	19372	395
980	19396	375
981	19413	355
982	19431	336
983	19453	316
984	19472	296
985	19489	276
986	19508	256
987	19527	237
988	19547	217
989	19566	197
990	19585	177
991	19604	158
992	19624	138
993	19647	118
994	19668	98
995	19688	79
996	19707	59
997	19727	39
998	19748	19
999	19767	0
